2010-09-10 02:59:38 Debug: Notice (8): Undefined property: BooksController::$Auth in [E:\wamp\www\_tutorials\cake1.3\simple_auth\controllers\books_controller.php, line 9]
2010-09-10 04:10:33 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 6]
2010-09-10 04:10:33 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 11]
2010-09-10 04:10:33 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 16]
2010-09-10 04:10:33 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 21]
2010-09-10 04:10:33 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 29]
2010-09-10 04:10:33 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 30]
2010-09-10 04:11:34 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 6]
2010-09-10 04:11:34 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 11]
2010-09-10 04:11:34 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 16]
2010-09-10 04:11:34 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 21]
2010-09-10 04:11:34 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 29]
2010-09-10 04:11:34 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 30]
2010-09-10 04:11:42 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 6]
2010-09-10 04:11:42 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 11]
2010-09-10 04:11:42 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 16]
2010-09-10 04:11:42 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 21]
2010-09-10 04:11:42 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 29]
2010-09-10 04:11:42 Debug: Notice (8): Undefined index: User in [E:\wamp\www\_tutorials\cake1.3\simple_auth\views\users\view.ctp, line 30]
